"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0.266729835978878 0.459501657696397 1.13221871280148 6.5167061279035
"2" "BM1_2" 0.423133216905387 0.441952890440411 2.77028380091852 4.97462552534197
"3" "BM1_3" 0.326943789532963 0.245900914053867 0.649262971839094 4.51932657348848
"4" "BM1_4" 0.137650088143344 0.333911980569529 0.225772276988437 6.31348439172638
"5" "BM1_5" 0.374815978166062 0.56059595170362 3.19679655385433 2.26240549024545
"6" "BM1_6" 0.198384379537961 0.297521283373031 0.352030057797776 6.51706749350895
"7" "BM1_7" 0.490339173518334 0.359172418474076 2.79010605037738 5.25938086589884
"8" "BM1_8" 0.147781717202253 0.288053876487391 0.196611748661224 5.93766115606489
"9" "BM1_9" 0.592236841229091 0.426701199952674 5.36710192912298 3.02911109585888
"10" "BM1_10" 0.18382919435206 0.543299208570962 0.748214616655997 3.29333031374174
"11" "BM1_11" 0.241229030226087 0.43572477311558 0.962041257904341 5.58539846475324
"12" "BM1_12" 0.254493444561677 0.260823536599406 0.464521131424184 6.26004722924141
"13" "BM1_13" 0.214549852591125 0.428288359651697 0.738699543513012 5.44237538782455
"14" "BM1_14" 0.430442027936802 0.46105400946134 3.14789546197325 3.10821020166205
"15" "BM1_15" 0.263365493292649 0.319439850370118 0.700675417743822 6.33866630395424
"16" "BM1_16" 0.292432309966418 0.357118791364342 1.00849883634205 2.86547666860187
"17" "BM1_17" 0.166230287508042 0.294441887592538 0.263626010997212 5.24815215515603
"18" "BM1_18" 0.184130408232926 0.307353463847556 0.341654618286838 5.66856843933409
"19" "BM1_19" 0.435401166782719 0.372311899927615 2.33264333969916 2.42954168868237
"20" "BM1_20" 0.311717930461801 0.323066930448785 0.99237229544678 5.36780417899421
"21" "BM1_21" 0.502514497507665 0.296245705904988 2.08493951129473 5.31455869940634
"22" "BM1_22" 0.177010444084999 0.313722897890944 0.324109855425437 6.14271757956444
"23" "BM1_23" 0.237729880714923 0.349416318550746 0.655929788696466 5.18969004624263
"24" "BM1_24" 0.243537969224498 0.319988290425269 0.587203653859568 4.90300569777958
"25" "BM1_25" 0.396182369343921 0.368157841423217 1.94741789380946 4.44756350052322
"26" "BM1_26" 0.294563641526674 0.34744955054712 0.980524537109106 4.75673656772674
"27" "BM1_27" 0.211676198699839 0.294802477658879 0.39381182660119 6.20484256594309
"28" "BM1_28" 0.291530944828711 0.491607830086298 1.60748782165183 1.19569157148322
"29" "BM1_29" 0.362833531456198 0.491296318329158 2.45350532665178 5.27346440449481
"30" "BM1_30" 0.379891526485872 0.512892819456883 2.84318375777242 3.61481770330559
"31" "OU1_1" 0.113862754775776 0.952140189426952 0.660537229443515 5.49549990444739
"32" "OU1_2" 0.134812947308001 0.895075504520027 0.836364167031216 5.54065294393801
"33" "OU1_3" 0.15790301396519 0.900714486038468 1.0986555538834 4.14659982000212
"34" "OU1_4" 0.05 0.994383515427811 0.01 6.42472471302029
"35" "OU1_5" 0.286945025863575 0.891857163528265 3.44317095836382 1.39394491701427
"36" "OU1_6" 0.0500005986761479 0.870997869033826 0.177272285929503 7.39661896724045
"37" "OU1_7" 0.275534834054803 0.948132537062018 3.29081659061509 5.24849651303507
"38" "OU1_8" 0.0710965091039681 0.896560460539894 0.244238261221988 6.08599611719699
"39" "OU1_9" 0.36192390412234 0.885090305488103 5.12018348521345 2.26384007610021
"40" "OU1_10" 0.131185322274956 0.913658664809501 0.765998809583648 2.67333998531314
"41" "OU1_11" 0.05 0.792277059721439 0.0350966273699101 6.57054557502405
"42" "OU1_12" 0.05 1.10001779587763 0.01 7.09869758157458
"43" "OU1_13" 0.05 0.867775849392095 0.119387454842975 5.95099779457536
"44" "OU1_14" 0.258796620194389 0.898221788779104 2.77874959213489 2.50861112548156
"45" "OU1_15" 0.0693999187061974 0.913351466259464 0.307039940715845 6.27461820347695
"46" "OU1_16" 0.186425695616696 0.801381947952743 1.27707871011004 3.00387675886238
"47" "OU1_17" 0.05 0.76144499379842 0.021253389945401 5.4770977645418
"48" "OU1_18" 0.0519099046239547 0.921192004242722 0.188539702839075 6.18619811804242
"49" "OU1_19" 0.251267749765975 0.904725737175008 2.55237253974375 0.976402662233482
"50" "OU1_20" 0.0625077445411191 0.904632807485614 0.239316304103665 5.91701990665594
"51" "OU1_21" 0.05 0.784351524765425 0.0126949576333736 7.32440357260373
"52" "OU1_22" 0.0621630977794338 0.871340668701365 0.211421505519576 6.43836351252772
"53" "OU1_23" 0.0840604947305537 0.84002059976632 0.350641549828717 5.4903884104727
"54" "OU1_24" 0.0948316092243379 0.84272981226475 0.425176364282276 5.39439641358128
"55" "OU1_25" 0.108807010644921 0.899604724508944 0.565474401207578 4.91897184942725
"56" "OU1_26" 0.0969127518289798 0.930659240764978 0.426124396668596 5.83082635600815
"57" "OU1_27" 0.108129543328608 0.872034192018277 0.55106804720849 6.2311724465728
"58" "OU1_28" 0.118451885083491 0.844668882653002 0.64343603116261 0.25814613994467
"59" "OU1_29" 0.297433349027471 0.909352407392272 3.73000015900614 4.30129870105124
"60" "OU1_30" 0.266590744069383 0.861360984432809 2.72922909329745 3.55610170746294
"61" "OUM_1" 0.121660646035293 0.840604938593541 0.607646510790347 5.59275417689681
"62" "OUM_2" 0.146705143059811 0.80500689822939 0.845967350171209 5.65628970528774
"63" "OUM_3" 0.14966575234697 0.921209276328836 0.980089395487134 4.43992922935751
"64" "OUM_4" 0.05 0.582638262069176 0.0210400783122224 6.31426955898242
"65" "OUM_5" 0.306757022532069 0.795668464571545 3.31181189701691 1.50017415750579
