"gene_name" "tau" "alpha" "sigma" "theta_r1" "theta_r2" "theta_r4"
"1" "BM1_1" 0.266730620215515 0.461009096768053 1.12895228473784 6.64899057805517 6.51902100250474 6.18981057269218
"2" "BM1_2" 0.423393803601149 0.451364157486965 2.76007616710321 4.97116241811198 4.78131004747414 6.08054915641745
"3" "BM1_3" 0.3269523974628 0.278724150621674 0.694667568223353 5.04373755581389 4.12313685116493 5.73040404482157
"4" "BM1_4" 0.137530190124268 0.336041452535734 0.225522940938061 6.25527514876428 6.37512902772011 6.09129733056189
"5" "BM1_5" 0.374693142599935 0.582891110966507 3.26969337640725 2.49304506183193 2.05185015408022 2.89090229915474
"6" "BM1_6" 0.198585496411766 0.331843579763628 0.380488146120156 6.10951671875601 6.68488768469346 6.54278118642398
"7" "BM1_7" 0.490533895377925 0.408470090312355 2.97282382407223 3.92271562018842 5.78204723817792 5.66063900138383
"8" "BM1_8" 0.14751900764363 0.327432222905209 0.209565380833811 5.69207054581397 6.13748008634083 5.35146049907354
"9" "BM1_9" 0.592286308465368 0.436503192971351 5.40815985467683 2.25521986073828 3.27595758003977 3.52804373469239
"10" "BM1_10" 0.183125571918189 0.579297286003159 0.770127788090847 3.50650739549304 3.1303167191534 3.6983519942001
"11" "BM1_11" 0.240988480188252 0.534412172742871 1.09204540860946 5.09517628736128 5.91008632570475 4.89278960729176
"12" "BM1_12" 0.254685217117107 0.30337405868487 0.49157036042386 5.80774809294929 6.65189011916179 5.02626708129576
"13" "BM1_13" 0.214478430874925 0.450087578269878 0.76383046987929 5.72444788052585 5.30001261308881 5.55325651931926
"14" "BM1_14" 0.430578392113575 0.49105552436121 3.21239594193215 2.85236037244395 2.93687796546958 4.64723190111527
"15" "BM1_15" 0.26346575507021 0.341656867588487 0.727318861980166 5.82255678202273 6.56040992085761 6.3578857667146
"16" "BM1_16" 0.292030581926397 0.436792824401008 1.12237452705464 3.39726949063079 2.41814350043369 4.04559209413584
"17" "BM1_17" 0.166727504221268 0.324087688402987 0.256758394459617 5.10288677492158 5.48153804799125 4.15619682055644
"18" "BM1_18" 0.184411225632624 0.317825024137536 0.345278603003834 6.00646823541648 5.52271140631494 5.66626065559142
"19" "BM1_19" 0.435463488749669 0.41223460779603 2.48910253609813 3.09074344518497 1.99943647825124 3.28529158403697
"20" "BM1_20" 0.311704920130157 0.360055440355913 1.03710416130643 4.48032030158266 5.74564904068147 5.4496470233236
"21" "BM1_21" 0.502555241030182 0.324675651527456 2.21082422865172 4.29540470932198 5.7778793199199 5.24515054025746
"22" "BM1_22" 0.177334431982835 0.324015059220023 0.32551615500204 6.42555642616 6.08496174885242 5.73735068767766
"23" "BM1_23" 0.237795882114372 0.350206870817605 0.6560182307481 5.09372587875953 5.21195281845611 5.30919676573936
"24" "BM1_24" 0.243474507555474 0.375104945368147 0.639724268309648 4.33288162855907 5.26219118058668 4.25799971390735
"25" "BM1_25" 0.396193772819023 0.368771827632758 1.91539658286423 4.3802296990926 4.6483816320244 3.43136042059341
"26" "BM1_26" 0.294421053932647 0.428253817284287 1.09235439450927 5.3898807745505 4.27627193432405 5.83012525578713
"27" "BM1_27" 0.211291425228583 0.315932405004791 0.402181697238958 5.95161820212481 6.43921622136805 5.4097656780644
"28" "BM1_28" 0.291507084250198 0.501009779172157 1.60893669268673 0.810062695105182 1.37760187035193 1.09661946712935
"29" "BM1_29" 0.362562903923286 0.528005212776853 2.57273843303028 5.74564384363096 4.99008631531556 5.75991489090504
"30" "BM1_30" 0.379928398442609 0.51971168503553 2.85121349768963 3.95846658940569 3.56010297693376 3.133381844356
"31" "OU1_1" 0.113644797642832 0.949275905809608 0.652591089051811 5.51479688685169 5.52349903920838 5.30302132603453
"32" "OU1_2" 0.135055867919615 0.910178019993495 0.834990791545318 5.58085218418109 5.5746565343549 5.27136779787329
"33" "OU1_3" 0.158076433504517 0.903244640393613 1.09723434902908 4.12587590249509 4.17562677019703 4.0310539637545
"34" "OU1_4" 0.05 0.99923551779735 0.01 6.43555842963456 6.42124145062258 6.42097865638575
"35" "OU1_5" 0.286838308560809 0.899480502695543 3.41264314607197 1.03367642247964 1.51779355570601 1.45923328223598
"36" "OU1_6" 0.05 0.871411307977372 0.176631571311699 7.4382439313128 7.38257847787916 7.38739644801604
"37" "OU1_7" 0.275400823107926 0.948772505614304 3.27397487759797 5.27646619319424 5.18021060047695 5.56557578998409
"38" "OU1_8" 0.0714961332228068 0.907549353111945 0.244145697939206 6.02816732126065 6.09241894579901 6.16865600282882
"39" "OU1_9" 0.36194298283657 0.888956503360773 5.11049855740815 2.08427838175631 2.36810649761501 2.06326251090314
"40" "OU1_10" 0.130962652729792 0.921717497562722 0.761505239030648 2.81443333439066 2.65064889758901 2.50978381678288
"41" "OU1_11" 0.0500825545380997 0.793250019325077 0.0349097812154829 6.57478804760224 6.57468238613223 6.53842378910192
"42" "OU1_12" 0.05 1.1030842276755 0.01 7.10670155088582 7.09781960173018 7.08628119268588
"43" "OU1_13" 0.0509135825895448 0.860430162178237 0.119922022302785 5.99124559351995 5.93715883856907 5.94401072682517
"44" "OU1_14" 0.258669396999935 0.90572037732962 2.74462195875879 2.73478450034667 2.36236426623094 2.84071479749772
"45" "OU1_15" 0.0694211924661094 0.91345883968003 0.306776211748116 6.26961185092946 6.26938236172346 6.31349170452771
"46" "OU1_16" 0.186107040510065 0.808498607521334 1.27142442486164 3.1751599608896 2.91158617241597 3.14671967252877
"47" "OU1_17" 0.05 0.784966631407947 0.0204100422716459 5.53251088922626 5.46117137617035 5.44462308464652
"48" "OU1_18" 0.0504862087843623 0.925286720914355 0.188687778527969 6.17081798744761 6.20797741242473 6.09974961627045
"49" "OU1_19" 0.251133969346938 0.906942968619814 2.5035339595033 0.700665991075239 0.995514306824242 1.43790269159939
"50" "OU1_20" 0.0616882682420303 0.906058984356396 0.237839848564573 5.97296787303416 5.88437279195698 5.9801801438568
"51" "OU1_21" 0.05 0.782678537086299 0.0126756024765996 7.32803551304565 7.32528248788281 7.31114268293919
"52" "OU1_22" 0.0620563060276096 0.871966027196068 0.211548548946295 6.42315585072803 6.44072231605121 6.45665951998429
"53" "OU1_23" 0.0839336347354609 0.841971642015245 0.348879035533589 5.47243878483793 5.47204060916927 5.62607797536208
"54" "OU1_24" 0.0946476248016354 0.848672539564589 0.42408759484168 5.32396841663665 5.39517432119733 5.53456673808271
"55" "OU1_25" 0.108710459006747 0.901075420415547 0.563595619560822 4.84662473647159 4.93043629848175 5.00412068769714
"56" "OU1_26" 0.096826167291555 0.930322419642611 0.426114298546666 5.82379793002159 5.83635200743254 5.81504891327336
"57" "OU1_27" 0.108139661322322 0.883449192521518 0.54959906646317 6.16405536708321 6.28455488736678 6.0789447873585
"58" "OU1_28" 0.118593555088269 0.847283424304973 0.642415603726213 0.189074139226897 0.269348322796129 0.339524607952202
"59" "OU1_29" 0.297430645080674 0.90991358321781 3.7229846000245 4.27634013463728 4.34750414749823 4.10102358420966
"60" "OU1_30" 0.266392350572044 0.874586472573521 2.69681898006137 3.964462019064 3.40981731124788 3.5097405743765
"61" "OUM_1" 0.121065718600758 0.880453016727441 0.572704100214463 5.26589081718838 5.63353887778587 6.04026571255446
"62" "OUM_2" 0.146022676557781 0.832542657808677 0.813379142941754 5.32836536416594 5.6905085620282 6.14346993087793
"63" "OUM_3" 0.149825339180055 0.928865052294371 0.979649244902234 4.45459860855238 4.40254418857835 4.61480084238704
"64" "OUM_4" 0.05 0.774241636250807 0.0187418782940733 6.20951216843618 6.38083578634159 6.17812243334117
"65" "OUM_5" 0.305806119209527 0.935180826432346 2.92544058413361 2.84891855454421 1.24915648491668 0.171731037952017
"66" "OUM_6" 0.123687155279345 1.12533250469149 0.0871413858808252 5.98051190659998 7.5526335136351 8.43305914880294
"67" "OUM_7" 0.234307453349622 0.940767373598417 2.21349799695687 4.81378875807223 5.18525829931791 6.16638323166283
"68" "OUM_8" 0.0776891282762234 0.978199828758787 0.273987638028013 5.63966988519169 6.22156077913126 6.67159389982545
"69" "OUM_9" 0.27291304849352 0.703155795075778 0.01 3.16978281656086 1.89167040231436 0.00657455698115484
"70" "OUM_10" 0.150117864890697 0.948661445651426 0.642150230378394 3.33936649578285 2.58798223472307 1.80658392634658
"71" "OUM_11" 0.0870118198081328 0.980288342239979 0.0981589139745637 5.47925932729194 6.6133251183717 7.17460644769661
"72" "OUM_12" 0.0507705914862895 1.03943490901561 0.0882938658977525 6.33349971642302 7.16301460739751 7.56162015624997
"73" "OUM_13" 0.0797811147655757 0.90997933726812 0.288738379892118 5.41795404270258 5.87655440641754 5.92483940893162
"74" "OUM_14" 0.284473573902403 0.877142034584127 2.71167831080278 3.32721557365039 2.40245096345189 1.39782907127731
"75" "OUM_15" 0.113132289259707 1.07777337534298 0.189033298335093 5.33335795946513 6.40408559951427 7.35743072974075
"76" "OUM_16" 0.203719792547253 0.906361634390657 1.23402909218905 3.74806050493152 2.79991593925441 1.84455528041473
"77" "OUM_17" 0.05 0.879388918872916 0.0134413619680688 5.56186316289774 5.46299967596696 5.09693044202094
"78" "OUM_18" 0.0633130604606594 0.988330689843558 0.13214633248087 5.74055369785033 6.3419769492254 6.87702318847327
"79" "OUM_19" 0.280961246626641 0.894706858913666 2.27715186471228 2.45247454096958 0.829463453801179 0.207070774513815
"80" "OUM_20" 0.0699137729092603 0.842731197110812 0.194676268464475 5.37325608675444 5.95556249812418 6.16702286185018
"81" "OUM_21" 0.0626990420186598 1.02737125139148 0.155304816494906 6.55566893313485 7.35441098608783 7.75768500105502
"82" "OUM_22" 0.0770599561186828 0.918358422719586 0.261968378444495 5.92781870277847 6.45648609964069 6.82005971919521
"83" "OUM_23" 0.0879856827976839 0.966025989382967 0.308038866433034 5.21756591079127 5.657171285589 6.27133032465653
"84" "OUM_24" 0.072105328502017 0.936794106620789 0.283783862798248 5.16067490267526 5.54504908795566 5.96093519752219
"85" "OUM_25" 0.110635811074506 0.868299756875401 0.566168458689721 4.97503000331529 4.97106985832965 5.26424823850607
"86" "OUM_26" 0.105450761202348 0.927485000567502 0.498220757243882 5.39367997416123 5.84263114310333 5.95126897265635
"87" "OUM_27" 0.140943125526986 0.851220926347659 0.432528250029859 5.49650025840445 6.34147420786672 7.3404690181419
"88" "OUM_28" 0.181525382414302 0.903072518154014 0.987821628699629 1.40975364002367 0.291671219047965 1.11446667819527e-10
"89" "OUM_29" 0.315938208384718 0.897259850793607 3.80343863524031 4.58889961715295 4.1980533650531 3.09775668013203
"90" "OUM_30" 0.276364842963175 0.928086119364385 2.78473193060715 4.08277134487712 3.37398884737069 2.27030876815734
