"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"1",8,-370.285648961627,-299.444949201513,0.367655103478989,1e-10,0.268903803929335,"converged","BM1_1_BM1","BM1_1","BM1","BM1",3,"SCOUT_PPUPWTtS",256,746.571297923254,746.666536018492,0,0,0.999999949889059,0.99999995230086,"BM1",1.27088032167239,1.20675586710968
"2",7,-386.31908113901,-378.820888579837,1.13221871280148,0.459501657696397,0.266729835978878,"converged","BM1_1_OU1","BM1_1","OU1","OU1",4,"SCOUT_PPUPWTtS",256,780.63816227802,780.797524827821,34.0668643547658,34.1309888093285,4.00381844275858e-08,3.87748323186662e-08,"BM1",2.93798531241339,2.75999846462378
"3",7,-385.699080371322,-378.110371941998,1.12895228473784,0.461009096768053,0.266730620215515,"converged","BM1_1_OUM","BM1_1","OUM","OUM",6,"SCOUT_PPUPWTtS",256,783.398160742644,783.735510140234,36.8268628193896,37.0689741217419,1.0072756238164e-08,8.9243074532131e-09,"BM1",6.57985502213751,6.57985502213751
"4",9,-308.016260876093,-237.285818036105,0.224844167042144,1e-10,0.193664464368521,"converged","BM1_10_BM1","BM1_10","BM1","BM1",3,"SCOUT_PPUPWTtS",256,622.032521752187,622.127759847425,0,0,0.997881290878955,0.998075483229972,"BM1",1.13611761936181,1.0719931647991
"5",7,-311.484437504878,-298.293130370052,0.770127788090847,0.579297286003159,0.183125571918189,"converged","BM1_10_OUM","BM1_10","OUM","OUM",6,"SCOUT_PPUPWTtS",256,634.968875009756,635.306224407346,12.9363532575694,13.1784645599217,0.00154876477433348,0.0013724488528024,"BM1",1.8213616596214,1.99934850741101
"6",7,-314.484111758583,-302.721626509794,0.748214616655997,0.543299208570962,0.18382919435206,"converged","BM1_10_OU1","BM1_10","OU1","OU1",4,"SCOUT_PPUPWTtS",256,636.968223517167,637.127586066968,14.9357017649804,14.9998262195431,0.000569944346711525,0.000552067917225709,"BM1",10.4787440458136,10.300757198024
"7",9,-354.283225701427,-283.501763463675,0.318330133924346,1e-10,0.24947250879596,"converged","BM1_11_BM1","BM1_11","BM1","BM1",3,"SCOUT_PPUPWTtS",256,714.566451402853,714.661689498091,0,0,0.999998843506599,0.999998956514353,"BM1",7.14901217615875,7.08488772159603
"8",7,-365.173565534365,-353.807112352535,1.09204540860946,0.534412172742871,0.240988480188252,"converged","BM1_11_OUM","BM1_11","OUM","OUM",6,"SCOUT_PPUPWTtS",256,742.347131068731,742.684480466321,27.7806796658776,28.02279096823,9.27900815767714e-07,8.22105974376262e-07,"BM1",2.62398021683782,2.80196706462743
"9",7,-368.574549066679,-362.603842466039,0.962041257904341,0.43572477311558,0.241229030226087,"converged","BM1_11_OU1","BM1_11","OU1","OU1",4,"SCOUT_PPUPWTtS",256,745.149098133358,745.308460683159,30.5826467305051,30.6467711850678,2.28592585213871e-07,2.21379672129566e-07,"BM1",0.118484267851272,0.182608722413988
"10",9,-277.547884198342,-206.722211753843,0.163979415398757,1e-10,0.25801123244984,"converged","BM1_12_BM1","BM1_12","BM1","BM1",3,"SCOUT_PPUPWTtS",256,561.095768396684,561.191006491922,0,0,1,1,"BM1",4.87204716601559,4.62993586366326
"11",8,-317.634490357595,-323.484595524676,0.49157036042386,0.30337405868487,0.254685217117107,"converged","BM1_12_OUM","BM1_12","OUM","OUM",6,"SCOUT_PPUPWTtS",256,647.268980715191,647.606330112781,86.1732123185074,86.4153236208597,1.93965594155537e-19,1.7185053946365e-19,"BM1",0.40876451128679,0.650875813639118
